                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.0339,                 1.3061,                 1.1406,                0.86848,                0.66204,                0.72513,                0.49796,                 1.1666,                 1.4107,                 1.1506,             0.00097629,             0.00097629,             0.00097629
                     99,                  1.066,                  1.257,                 1.1672,                0.86848,                0.66204,                0.72513,                0.49796,                 1.1666,                 1.4107,                 1.1506,             0.00097158,             0.00097158,             0.00097158
                    100,                 1.0192,                 1.3158,                  1.118,                0.87558,                0.66204,                0.72405,                0.48899,                 1.1738,                 1.4857,                 1.1586,             0.00096686,             0.00096686,             0.00096686
                    101,                 1.0212,                 1.3473,                 1.1238,                0.87558,                0.66204,                0.72405,                0.48899,                 1.1738,                 1.4857,                 1.1586,             0.00096215,             0.00096215,             0.00096215
                    102,                 1.0355,                 1.2486,                 1.1006,                0.73083,                0.81481,                 0.7864,                0.50319,                 1.1719,                 1.4666,                 1.1516,             0.00095743,             0.00095743,             0.00095743
                    103,                 1.0113,                  1.219,                 1.1128,                0.73083,                0.81481,                 0.7864,                0.50319,                 1.1719,                 1.4666,                 1.1516,             0.00095271,             0.00095271,             0.00095271
                    104,                 1.0471,                 1.2268,                 1.0772,                0.78914,                0.77315,                0.79748,                0.52285,                 1.1651,                 1.3421,                  1.136,               0.000948,               0.000948,               0.000948
                    105,                 1.0773,                 1.1984,                 1.1287,                0.78914,                0.77315,                0.79748,                0.52285,                 1.1651,                 1.3421,                  1.136,             0.00094328,             0.00094328,             0.00094328
                    106,                0.96014,                 1.1759,                 1.0678,                0.89719,                0.73148,                 0.8017,                0.56793,                 1.1393,                 1.2531,                 1.1134,             0.00093857,             0.00093857,             0.00093857
                    107,                0.97481,                 1.1347,                 1.1033,                0.89719,                0.73148,                 0.8017,                0.56793,                 1.1393,                 1.2531,                 1.1134,             0.00093385,             0.00093385,             0.00093385
                    108,                 1.0197,                 1.5657,                  1.212,                0.89719,                0.73148,                 0.8017,                0.56793,                 1.1393,                 1.2531,                 1.1134,             0.00092914,             0.00092914,             0.00092914
                    109,                0.86273,                 1.1367,                 1.0793,                0.79668,                0.73148,                 0.7999,                0.56304,                 1.1194,                  1.258,                 1.1043,             0.00092442,             0.00092442,             0.00092442
                    110,                0.98981,                 1.1807,                 1.1279,                0.79668,                0.73148,                 0.7999,                0.56304,                 1.1194,                  1.258,                 1.1043,              0.0009197,              0.0009197,              0.0009197
                    111,                0.92087,                 1.1545,                 1.0905,                0.75935,                0.77043,                0.78485,                0.57285,                 1.1139,                  1.249,                 1.0969,             0.00091499,             0.00091499,             0.00091499
                    112,                 1.0354,                 1.3027,                 1.1445,                0.75935,                0.77043,                0.78485,                0.57285,                 1.1139,                  1.249,                 1.0969,             0.00091027,             0.00091027,             0.00091027
                    113,                  1.001,                 1.1497,                 1.0549,                0.69406,                0.77315,                0.79216,                0.58727,                  1.105,                 1.2706,                 1.0879,             0.00090556,             0.00090556,             0.00090556
                    114,                0.86421,                 1.0849,                 1.0342,                0.69406,                0.77315,                0.79216,                0.58727,                  1.105,                 1.2706,                 1.0879,             0.00090084,             0.00090084,             0.00090084
                    115,                 1.0618,                 1.2555,                 1.1355,                0.69406,                0.77315,                0.79216,                0.58727,                  1.105,                 1.2706,                 1.0879,             0.00089613,             0.00089613,             0.00089613
                    116,                0.98941,                 1.5061,                  1.072,                0.78993,                0.77899,                 0.8248,                0.61388,                 1.1066,                 1.2474,                 1.0871,             0.00089141,             0.00089141,             0.00089141
                    117,                0.97302,                 1.2009,                  1.074,                0.78993,                0.77899,                 0.8248,                0.61388,                 1.1066,                 1.2474,                 1.0871,             0.00088669,             0.00088669,             0.00088669
                    118,                0.93345,                 1.0688,                 1.0256,                0.79422,                0.77315,                0.83179,                0.61612,                 1.1086,                 1.2578,                 1.0903,             0.00088198,             0.00088198,             0.00088198
